Course, From, Skill
Supervised Machine Learning: Regression and Classification, DeepLearning.AI, Machine Learning  Machine Learning Algorithms  Regression  Applied Machine Learning  Algorithms  Statistical Machine Learning  Mathematics  Critical Thinking  Machine Learning Software  Python Programming
IBM IT Project Manager, SkillUp EdTech, Software Engineering  Agile Software Development  Computer Programming  Software Engineering Tools  Application Development  Programming Principles  Software Architecture  Communication  Cloud Applications  Product Management  Scrum (Software Development)  Software-Defined Networking  Leadership and Management  Project Management  Business Analysis  Cloud Computing  IBM Cloud  Information Technology  Operating Systems  Python Programming  Risk Management
IBM Back-end JavaScript Developer, IBM, Software Engineering  Application Development  Computer Programming  Software Architecture  Software Engineering Tools  Cloud Applications  Web Development  Cloud Computing  Communication  DevOps  Programming Principles  Agile Software Development  Cloud Infrastructure  Cloud-Based Integration  IBM Cloud  Kubernetes  Microarchitecture  Javascript  Cloud Platforms  Continuous Delivery  Docker (Software)  Leadership and Management  Product Management  Software-Defined Networking  Collaboration  Continuous Integration  Computer Science  Mergers & Acquisitions  NoSQL  Python Programming
IBM Front-End Developer, IBM, Software Engineering  Cloud Applications  Application Development  Computer Programming  Software Engineering Tools  Cloud Computing  IBM Cloud  Programming Principles  Web Development  Cloud API  Cloud Infrastructure  Cloud Management  Cloud Platforms  Software Architecture  Agile Software Development  Communication  DevOps  Continuous Integration  Software As A Service  Continuous Delivery  Product Management  Software-Defined Networking  Front-End Web Development  Leadership and Management  NoSQL  Collaboration  Javascript  Mergers & Acquisitions  Python Programming  React (web framework)  Search Engine Optimization  Strategy
IBM IT Scrum Master, SkillUp EdTech, DevOps  Software Engineering  Computer Programming  Agile Software Development  Programming Principles  Software Engineering Tools  Application Development  Software Architecture  Communication  Continuous Delivery  Cloud Applications  Continuous Integration  Product Management  Scrum (Software Development)  Software-Defined Networking  Leadership and Management  Project Management  Cloud Computing  IBM Cloud  Information Technology  Operating Systems  Python Programming
Neural Networks and Deep Learning, DeepLearning.AI, Artificial Neural Networks  Deep Learning  Machine Learning  Machine Learning Algorithms  Python Programming  Computer Programming  Network Model  Calculus  Human Learning  Regression  Linear Algebra  Mathematics
Ciberseguridad de Google, Google, Computer Programming  Databases  Linux  Python Programming  SQL
IBM Introduction to Machine Learning, IBM, Machine Learning  Machine Learning Algorithms  Algorithms  Statistical Machine Learning  Human Learning  Probability & Statistics  Applied Machine Learning  Data Analysis  Regression  General Statistics  Python Programming  Feature Engineering  Machine Learning Software  Exploratory Data Analysis  Dimensionality Reduction  Statistical Analysis  Statistical Tests  Computational Thinking  Databases
Learn SQL Basics for Data Science, University of California  Davis, Databases  SQL  Data Management  Data Analysis  Big Data  Data Model  Exploratory Data Analysis  Database Administration  Problem Solving  Database Design  Business Analysis  Computational Logic  Extract  Transform  Load  Critical Thinking  Apache  Data Architecture  Customer Analysis  Distributed Computing Architecture  Statistical Tests  Python Programming  Data Science
AI for Medicine, DeepLearning.AI, Machine Learning  Machine Learning Algorithms  Deep Learning  Python Programming  Artificial Neural Networks  Statistical Programming  Probability & Statistics
Reinforcement Learning, University of Alberta, Machine Learning  Reinforcement Learning  Algorithms  Human Learning  Machine Learning Algorithms  Applied Machine Learning  Computer Programming  Python Programming  Statistical Machine Learning  Statistical Programming  Artificial Neural Networks  Decision Making  Probability & Statistics  Probability Distribution
Security Analyst Fundamentals, IBM, Security Strategy  Computer Security Incident Management  Python Programming  Cyberattacks  DevOps  Mobile Security  Software Security  System Software  Computer Programming  Leadership and Management
Generative Adversarial Networks (GANs), DeepLearning.AI, Machine Learning  Artificial Neural Networks  Machine Learning Algorithms  Python Programming  Deep Learning  Machine Learning Software  Statistical Programming  Computer Vision  Computer Programming  Human Learning  General Statistics  Probability & Statistics  Problem Solving
Improving Deep Neural Networks: Hyperparameter Tuning  Regularization and Optimization, DeepLearning.AI, Applied Machine Learning  Deep Learning  Machine Learning  Artificial Neural Networks  Machine Learning Algorithms  Algorithms  Computer Programming  Mathematics  Python Programming  Mathematical Theory & Analysis  Tensorflow  Human Learning
Tools for Data Science, IBM, Data Science  R Programming  Cloud Computing  Computer Programming  IBM Cloud  Python Programming
Cybersécurité Google, Google, Cloud Computing  Linux  Python Programming  SQL
Data Engineering  Big Data  and Machine Learning on GCP, Google Cloud, Google Cloud Platform  Cloud Computing  Cloud Platforms  Big Data  Applied Machine Learning  Human Learning  Machine Learning  Machine Learning Algorithms  Machine Learning Software  Algorithms  Data Analysis  Data Management  Apache  Feature Engineering  SQL  Cloud Storage  Python Programming  Data Warehousing  Statistical Programming  Tensorflow
Sequence Models, DeepLearning.AI, Artificial Neural Networks  Deep Learning  Machine Learning  Natural Language Processing  Machine Learning Algorithms  Applied Machine Learning  Python Programming  Computer Programming  Machine Learning Software  Tensorflow
Natural Language Processing with Classification and Vector Spaces, DeepLearning.AI, Machine Learning  Natural Language Processing  Probability & Statistics  Python Programming  Machine Learning Algorithms  Applied Machine Learning  Computer Programming  General Statistics  Human Learning  Mathematics
Data Science Methodology, IBM, Data Science  Data Analysis  Data Model  Machine Learning  Python Programming  Statistical Machine Learning  Data Mining
Put It to Work: Prepare for Cybersecurity Jobs, Google, Computer Programming  Leadership and Management  Python Programming  SQL
Introduction to Discrete Mathematics for Computer Science, University of California San Diego, Mathematics  Problem Solving  Mathematical Theory & Analysis  Algorithms  Critical Thinking  Graph Theory  Combinatorics  Computational Thinking  Probability & Statistics  Computer Programming  Python Programming  Computational Logic  General Statistics  Theoretical Computer Science  Probability Distribution  Strategy  Creativity  Experiment  Calculus  Game Theory  Plot (Graphics)  Cryptography  Sales
Machine Learning Data Lifecycle in Production, DeepLearning.AI, Python Programming  Statistical Programming  Tensorflow  Exploratory Data Analysis  Feature Engineering  Machine Learning  Probability & Statistics
IBM AI Enterprise Workflow, IBM, Machine Learning  Data Analysis  Exploratory Data Analysis  Human Learning  Data Visualization  Algorithms  Dimensionality Reduction  Feature Engineering  Natural Language Processing  Python Programming  Business Process Management  Data Management  Data Structures  Statistical Programming  Strategy and Operations  Apache  Artificial Neural Networks  Data Science  Docker (Software)
Convolutional Neural Networks in TensorFlow, DeepLearning.AI, Machine Learning  Deep Learning  Machine Learning Algorithms  Applied Machine Learning  Artificial Neural Networks  Computer Vision  Human Learning  Tensorflow  Python Programming  Machine Learning Software
Modern Robotics:  Mechanics  Planning  and Control, Northwestern University, Mathematics  Linear Algebra  Algebra  Geometry  Computer Programming  Mathematical Theory & Analysis  Computer Programming Tools  Matlab  Python Programming  Algorithms  Critical Thinking  Problem Solving  Differential Equations  Graph Theory  Spatial Analysis  Planning  Supply Chain and Logistics
Sports Performance Analytics, University of Michigan, Data Analysis  Python Programming  Statistical Analysis  General Statistics  Probability & Statistics  Statistical Programming  Regression  Exploratory Data Analysis  Statistical Tests  Basic Descriptive Statistics  Computer Programming  Machine Learning Algorithms
AI for Medical Diagnosis, DeepLearning.AI, Machine Learning  Artificial Neural Networks  Deep Learning  Python Programming  Statistical Programming
Mathematics for Machine Learning: Linear Algebra, Imperial College London, Algebra  Linear Algebra  Mathematics  Python Programming  Computer Programming  Machine Learning Algorithms  Problem Solving  Algorithms  Applied Machine Learning  Computer Programming Tools
Build Basic Generative Adversarial Networks (GANs), DeepLearning.AI, Artificial Neural Networks  Machine Learning  Machine Learning Algorithms  Machine Learning Software  Python Programming  Statistical Programming  Deep Learning
Introduction to Computer Vision and Image Processing, IBM, Computer Vision  Deep Learning  Machine Learning  Machine Learning Algorithms  Artificial Neural Networks  Visualization (Computer Graphics)  Algorithms  Applied Machine Learning  Machine Learning Software  Python Programming  Computer Programming  Data Science
Introduction to Deep Learning & Neural Networks with Keras, IBM, Algorithms  Artificial Neural Networks  Deep Learning  Human Learning  Machine Learning  Machine Learning Algorithms  Network Model  Applied Machine Learning  Network Architecture  Python Programming  Regression
Applied Data Science Capstone, IBM, Python Programming  Data Analysis  Machine Learning  Algorithms  Computer Programming  Data Science  Exploratory Data Analysis
Deep Neural Networks with PyTorch, IBM, Human Learning  Machine Learning  Deep Learning  Python Programming  Artificial Neural Networks  Machine Learning Algorithms  Applied Machine Learning  Algorithms  Regression  Mathematics
Big Data, University of California San Diego, Data Analysis  Big Data  Data Management  Databases  Data Model  Exploratory Data Analysis  Machine Learning  Data Analysis Software  Data Structures  Data Visualization  SQL  Data Mining  Distributed Computing Architecture  Apache  Database Design  Extract  Transform  Load  Graph Theory  Probability & Statistics  Statistical Programming  Mathematics  Database Application  Machine Learning Algorithms  Leadership and Management  Cloud Computing  Database Theory  PostgreSQL  Python Programming  Statistical Visualization  Algorithms  Human Learning
Natural Language Processing with Probabilistic Models, DeepLearning.AI, Machine Learning  Natural Language Processing  Python Programming  Statistical Programming  Statistical Machine Learning
TensorFlow: Data and Deployment, DeepLearning.AI, Machine Learning  Applied Machine Learning  Deep Learning  Tensorflow  Computer Programming  Javascript  Artificial Neural Networks  Python Programming  Data Model  Machine Learning Algorithms  Machine Learning Software  Mobile Development  Web Development  Computer Vision  Mobile Development Tools  Extract  Transform  Load  Human Learning  iOS Development
Introductory C Programming, Duke University, Python Programming  Computer Programming  C Programming Language Family  Algorithms  Computational Logic  Critical Thinking  Problem Solving  Process Analysis  Programming Principles  Computer Programming Tools  Data Visualization  Theoretical Computer Science  Computational Thinking  Software Testing  Writing  Software Engineering  User Experience
Natural Language Processing in TensorFlow, DeepLearning.AI, Machine Learning  Natural Language Processing  Deep Learning  Machine Learning Algorithms  Tensorflow  Python Programming  Computer Programming  Artificial Neural Networks  Machine Learning Software  Network Model
Fundamentals of Reinforcement Learning, University of Alberta, Machine Learning  Reinforcement Learning  Machine Learning Algorithms  Python Programming  Statistical Programming  Computer Programming  Decision Making
Fundamentos de la ciberseguridad, Google, Computer Programming  Python Programming  SQL
تحليلات البيانات من Google, Google, Computer Programming  Problem Solving  Python Programming  Programming Principles  Computer Programming Tools  Algebra  Computational Thinking  Exploratory Data Analysis  Mathematics  Data Analysis  Process Analysis  Differential Equations  Theoretical Computer Science  Critical Thinking  Data Analysis Software  Data Visualization  Databases  Decision Making  People Analysis  SQL  Communication
AI and Public Health, DeepLearning.AI, Artificial Neural Networks  Exploratory Data Analysis  Python Programming
Natural Language Processing with Sequence Models, DeepLearning.AI, Artificial Neural Networks  Deep Learning  Machine Learning  Natural Language Processing  Statistical Programming  Python Programming
Data Science with Databricks for Data Analysts, Databricks, Data Analysis  Machine Learning  Machine Learning Algorithms  Algorithms  Exploratory Data Analysis  Human Learning  Python Programming  Apache  Applied Machine Learning  Data Management  SQL  Regression  Big Data  Feature Engineering  Statistical Programming  Data Science
Regression Analysis: Simplify Complex Data Relationships, Google, Python Programming  Regression  Statistical Analysis
Coding for Beginners: An Easy Introduction, IBM, Computer Programming  Python Programming
Computational Neuroscience, University of Washington, Mathematics  Computer Programming  Mathematical Theory & Analysis  Probability & Statistics  Python Programming  Computational Logic  Data Analysis  Artificial Neural Networks  Linear Algebra  Machine Learning  Human Learning
إدارة المشروعات من Google, Google, Leadership and Management  Project Management  Programming Principles  Planning  Computer Programming  Product Management  Strategy and Operations  Business Process Management  Python Programming  Scrum (Software Development)  Change Management  Deep Learning  Exploratory Data Analysis  Probability Distribution  Vendor Management  Algebra  Basic Descriptive Statistics  Business Analysis  Calculus  Mathematics  People Analysis  Problem Solving  Spreadsheet Software
Computational Thinking for Problem Solving, University of Pennsylvania, Computational Thinking  Computer Programming  Problem Solving  Algorithms  Computational Logic  Critical Thinking  Programming Principles  Python Programming  Theoretical Computer Science  Decision Making
IBM Data Analyst Capstone Project, IBM, Python Programming  Exploratory Data Analysis  Computer Programming  Data Analysis  Data Visualization  Microsoft Excel  SQL
Google Advanced Data Analytics Capstone, Google, Computer Programming  Data Analysis  Machine Learning  Python Programming
Penetration Testing  Incident Response and Forensics, IBM, Security Strategy  Computer Security Incident Management  Python Programming  Computer Programming
Internet of Things and AI Cloud, University of California San Diego, Computer Networking  Internet Of Things  Communication  Computer Vision  Software-Defined Networking  Computer Programming  Cloud Computing  Python Programming
Build Better Generative Adversarial Networks (GANs), DeepLearning.AI, Deep Learning  Machine Learning  Artificial Neural Networks  Machine Learning Algorithms  Python Programming  Computer Programming  Computer Vision  General Statistics  Probability & Statistics  Problem Solving
Introduction to Machine Learning, Duke University, Artificial Neural Networks  Machine Learning  Natural Language Processing  Python Programming  Regression
Custom Models  Layers  and Loss Functions with TensorFlow, DeepLearning.AI, Applied Machine Learning  Deep Learning  Machine Learning  Python Programming  Tensorflow  Artificial Neural Networks  Network Architecture  Network Model  Computer Programming  Machine Learning Algorithms
Introduction to Self-Driving Cars, University of Toronto, Python Programming  Software Engineering  Computer Programming Tools  Computer Vision  Critical Thinking  Machine Learning  Mathematics  Problem Solving  Strategy and Operations  Systems Design  Computer Programming
Introduction to Big Data with Spark and Hadoop, IBM, Apache  Big Data  Distributed Computing Architecture  Data Management  Kubernetes  Data Architecture  Data Warehousing  Extract  Transform  Load  Process Analysis  Python Programming
Introduction to Retrieval Augmented Generation (RAG), Duke University, Machine Learning  Python Programming
Advanced Computer Vision with TensorFlow, DeepLearning.AI, Artificial Neural Networks  Computer Vision  Deep Learning  Machine Learning  Tensorflow  Machine Learning Algorithms  Machine Learning Software  Human Learning  Python Programming  Visualization (Computer Graphics)
Supervised Machine Learning: Regression, IBM, Machine Learning  Probability & Statistics  Regression  Statistical Machine Learning  Machine Learning Algorithms  Data Analysis  Human Learning  Statistical Tests  General Statistics  Python Programming
SQL: A Practical Introduction for Querying Databases, IBM, Business Analysis  Data Analysis  Data Analysis Software  Data Management  Database Administration  Database Design  Database Theory  Databases  Python Programming  SQL
IBM Cybersecurity Analyst Assessment, IBM, Cryptography  Python Programming  Computer Security Incident Management  Network Security
Apply Generative Adversarial Networks (GANs), DeepLearning.AI, Artificial Neural Networks  Deep Learning  Machine Learning  Machine Learning Algorithms  Computer Vision  Python Programming  Computer Programming  Human Learning
AI Capstone Project with Deep Learning, IBM, Deep Learning  Machine Learning  Python Programming  Artificial Neural Networks  Extract  Transform  Load  Machine Learning Algorithms  Applied Machine Learning  Data Analysis  Data Visualization  Machine Learning Software
AI for Scientific Research, LearnQuest, Machine Learning Algorithms  Python Programming  Data Science  Dimensionality Reduction  Extract  Transform  Load  Machine Learning  Regression
Machine Learning for Supply Chains, LearnQuest, Machine Learning  Python Programming  Data Science  Natural Language Processing
Supervised Machine Learning: Classification, IBM, Algorithms  Human Learning  Machine Learning  Machine Learning Algorithms  Applied Machine Learning  Machine Learning Software  Statistical Machine Learning  General Statistics  Probability & Statistics  Python Programming
Troubleshooting and Debugging Techniques, Google, Computer Programming  Leadership and Management  Python Programming
APIs, Meta, Back-End Web Development  Cloud API  Computer Programming  Django (Web Framework)  Python Programming
Fundamental Skills in Bioinformatics, King Abdullah University of Science and Technology, Bioinformatics  Computer Programming  Python Programming  R Programming
Business Intelligence (BI) Essentials, IBM, Databases  Python Programming  SQL  Data Management  Data Mining  Data Visualization  Data Warehousing  General Statistics  NoSQL  R Programming  Business Intelligence  Data Analysis
State Estimation and Localization for Self-Driving Cars, University of Toronto, Estimation  Mathematical Theory & Analysis  Probability & Statistics  General Statistics  Mathematics  Python Programming  Algorithms  Computer Programming  Linear Algebra  Regression
Introducción a la inteligencia artificial, Universidad Nacional Autónoma de México, Artificial Neural Networks  Adaptability  Algorithms  Computational Logic  Machine Learning  Theoretical Computer Science  Critical Thinking  Human Computer Interaction  Human Learning  Machine Learning Algorithms  Machine Learning Software  Natural Language Processing  Leadership and Management  Problem Solving  Strategy  Strategy and Operations  Probability & Statistics  Computer Programming  Python Programming
Discrete Optimization, The University of Melbourne, Algorithms  Computer Programming  Python Programming
Fundamentals of Scalable Data Science, IBM, Apache  Data Management  Python Programming  Statistical Programming  Cloud Computing  General Statistics  Probability & Statistics  Data Analysis  IBM Cloud  SQL  Statistical Visualization  Computer Programming
Create Machine Learning Models in Microsoft Azure, Microsoft, Applied Machine Learning  Machine Learning  Machine Learning Algorithms  Exploratory Data Analysis  Human Learning  Machine Learning Software  Python Programming  Regression  Deep Learning  Experiment  Microsoft Azure
Mathematics for Machine Learning: PCA, Imperial College London, Algebra  Linear Algebra  Machine Learning  Mathematics  Computer Programming  Dimensionality Reduction  Mathematical Theory & Analysis  Python Programming  Statistical Analysis  Applied Mathematics
Curso Completo de Power BI Desktop, Coursera Project Network, Data Analysis  Python Programming
Cloud Computing, University of Illinois at Urbana-Champaign, Cloud Computing  Distributed Computing Architecture  Cloud Infrastructure  Computer Networking  Cloud Storage  Cloud Platforms  Network Architecture  Apache  Cloud Applications  Cloud Engineering  Computer Architecture  Data Management  Algorithms  Software-Defined Networking  Software As A Service  Network Analysis  Theoretical Computer Science  Amazon Web Services  Big Data  Cloud-Based Integration  Software Architecture  Computational Thinking  Computer Programming  Cryptography  Security Engineering  Human Learning  Python Programming
Advanced Machine Learning and Signal Processing, IBM, Machine Learning  Machine Learning Algorithms  Machine Learning Software  Python Programming  Statistical Programming  Apache  Data Management  Extract  Transform  Load  Feature Engineering  Probability & Statistics  Human Learning
Custom and Distributed Training with TensorFlow, DeepLearning.AI, Deep Learning  Machine Learning  Tensorflow  Python Programming  Applied Machine Learning  Artificial Neural Networks  Computer Programming  Human Learning  Training  Machine Learning Algorithms  Strategy
Visual Perception for Self-Driving Cars, University of Toronto, Machine Learning  Applied Machine Learning  Computer Programming  Python Programming  Artificial Neural Networks  Computer Vision
Algorithms for DNA Sequencing, Johns Hopkins University, Algorithms  Bioinformatics  Computer Programming  Python Programming  Computational Thinking  Data Structures  Data Analysis  Programming Principles  Computational Logic  Computer Programming Tools
التسويق عبر وسائل التواصل الاجتماعي على فيسبوك, Meta, Social Media  Marketing  Programming Principles  Advertising  Algebra  Calculus  Computer Programming  Mathematics  Computer Programming Tools  Marketing Management  Theoretical Computer Science  Algorithms  Communication  Computational Logic  Differential Equations  Digital Marketing  Mathematical Theory & Analysis  Python Programming  Customer Relationship Management  Product Marketing  Brand Management
Applied AI with DeepLearning, IBM, Machine Learning  Artificial Neural Networks  Deep Learning  Statistical Programming  Machine Learning Software  Python Programming  Statistical Machine Learning  Machine Learning Algorithms  Applied Machine Learning  Apache  Human Learning  Tensorflow
Finding Hidden Messages in DNA (Bioinformatics I), University of California San Diego, Bioinformatics  Python Programming  Computational Logic  Critical Thinking  Probability & Statistics
Social Media Data Analytics, University of Washington, General Statistics  Python Programming  Probability & Statistics  Statistical Programming  Data Analysis  Regression  Statistical Analysis  Computer Programming  R Programming
Algorithms for Searching  Sorting  and Indexing, University of Colorado Boulder, Theoretical Computer Science  Algorithms  Data Structures  Computer Programming  Python Programming
Data Engineering Capstone Project, IBM, Data Management  Databases  NoSQL  SQL  Data Visualization  Data Visualization Software  Data Engineering  Python Programming  Statistical Programming
Classification of COVID19 using Chest X-ray Images in Keras, Coursera Project Network, Artificial Neural Networks  Deep Learning  Python Programming  Data Science
Generative Deep Learning with TensorFlow, DeepLearning.AI, Artificial Neural Networks  Computer Vision  Deep Learning  Machine Learning  Tensorflow  Human Learning  Machine Learning Algorithms  Applied Machine Learning  Python Programming  Dimensionality Reduction
Launching into Machine Learning, Google Cloud, Machine Learning  Data Analysis  Probability & Statistics  Statistical Programming  Data Visualization  Exploratory Data Analysis  Python Programming  Regression  SQL  Statistical Visualization  Cloud Computing  Extract  Transform  Load  Human Learning  Tensorflow
Introduction to Generative AI, Duke University, Cloud Computing  Machine Learning  Python Programming
Motion Planning for Self-Driving Cars, University of Toronto, Algorithms  Theoretical Computer Science  Machine Learning  Applied Machine Learning  Python Programming  Planning
Ciencia de datos​, Universidad de los Andes, Probability & Statistics  Exploratory Data Analysis  General Statistics  Leadership and Management  Python Programming  Statistical Machine Learning  Strategy  Algorithms  Market Analysis  Regression  Business Analysis  Communication  Machine Learning Algorithms  Mathematical Theory & Analysis  Operational Analysis  Process Analysis  Statistical Programming  Computer Programming  Data Model
Introduction to Concurrent Programming with GPUs, Johns Hopkins University, Computer Programming  C Programming Language Family  C++ Programming  Python Programming
Back-End Developer Capstone, Meta, Python Programming  Cloud API  Django (Web Framework)  Web Development
Computer Vision with Embedded Machine Learning, Edge Impulse, Algorithms  Artificial Neural Networks  Computer Vision  Deep Learning  Machine Learning  Machine Learning Algorithms  Machine Learning Software  Computer Programming  Python Programming
Foundations of Sports Analytics: Data  Representation  and Models in Sports, University of Michigan, Data Analysis  Python Programming  General Statistics  Statistical Analysis  Probability & Statistics  Statistical Programming  Regression  Exploratory Data Analysis  Statistical Tests  Computer Programming
Introduction to Data Analytics, Meta, Communication  Computer Programming  Data Analysis  Data Management  Data Visualization  Databases  Marketing  Python Programming  SQL  Statistical Programming  Storytelling  Tableau Software
Introduction to Robotics with Webots, University of Colorado Boulder, Algorithms  Linear Algebra  Python Programming
Using Machine Learning in Trading and Finance, New York Institute of Finance, Finance  Financial Analysis  Financial Management  Investment Management  Leadership and Management  Machine Learning  Market Analysis  Risk Management  Strategy  Python Programming
Generative Pre-trained Transformers (GPT), University of Glasgow, Machine Learning  Natural Language Processing  Python Programming
Machine Learning Foundations: A Case Study Approach, University of Washington, Algorithms  Applied Machine Learning  Human Learning  Machine Learning  Machine Learning Algorithms  Data Analysis  Machine Learning Software  Statistical Machine Learning  Python Programming  Problem Solving  Computer Programming  Regression
Building Batch Data Pipelines on Google Cloud, Google Cloud, Cloud Computing  Cloud Platforms  Google Cloud Platform  Data Management  Apache  Big Data  Cloud Storage  SQL  Python Programming  Statistical Programming
Introduction to Application Development, LearnQuest, Computer Programming  Programming Principles  Application Development  Python Programming  Software Engineering  Systems Design  Computer Architecture  Design and Product  Software Architecture  Visual Design  Algorithms
Modern Robotics  Course 2:  Robot Kinematics, Northwestern University, Algebra  Computer Programming  Computer Programming Tools  Geometry  Matlab  Python Programming  Algorithms  Critical Thinking
TensorFlow on Google Cloud, Google Cloud, Applied Machine Learning  Deep Learning  Machine Learning  Tensorflow  Google Cloud Platform  Artificial Neural Networks  Human Learning  Machine Learning Software  Python Programming  Cloud Computing  Cloud Platforms
Software Defined Networking, The University of Chicago, Computer Networking  Software-Defined Networking  Network Architecture  Network Analysis  Network Model  Networking Hardware  Communication  Computer Programming  Python Programming  Software Framework
Build and Operate Machine Learning Solutions with Azure, Microsoft, Cloud Computing  Python Programming  Machine Learning  Machine Learning Software  Microsoft Azure  Applied Machine Learning  Cloud Applications  Human Learning  Cloud Platforms  Machine Learning Algorithms
Machine Learning Capstone, IBM, Data Analysis  Machine Learning  Python Programming
NLP: Twitter Sentiment Analysis, Coursera Project Network, Machine Learning  Natural Language Processing  Python Programming
Microsoft Azure Databricks for Data Engineering, Microsoft, Data Architecture  Data Management  Extract  Transform  Load  Microsoft Azure  Distributed Computing Architecture  Big Data  Cloud Computing  Cloud Engineering  Cloud Storage  Data Warehousing  Python Programming
Hadoop Platform and Application Framework, University of California San Diego, Apache  Big Data  Distributed Computing Architecture  Data Management  Databases  Data Analysis  Data Analysis Software  Data Architecture  Database Application  Python Programming  Computer Programming
Introduction and Programming with IoT Boards, Pohang University of Science and Technology(POSTECH), Internet Of Things  Computer Networking  Networking Hardware  Computer Programming  Operating Systems  Computer Programming Tools  System Software  Cloud Computing  Python Programming  Hardware Design
Device-based Models with TensorFlow Lite, DeepLearning.AI, Applied Machine Learning  Deep Learning  Machine Learning  Mobile Development  Computer Vision  Data Model  Mobile Development Tools  Python Programming  Tensorflow  Machine Learning Algorithms  iOS Development
Machine Learning: Regression, University of Washington, Algorithms  Machine Learning  Regression  Machine Learning Algorithms  Applied Machine Learning  Human Learning  Python Programming  Statistical Machine Learning  Mathematics  Data Analysis
Operationalizing LLMs on Azure, Duke University, Python Programming
Data Engineering with Rust, Duke University, Python Programming  Software Testing  System Programming
Prediction Models with Sports Data, University of Michigan, Data Analysis  General Statistics  Probability & Statistics  Statistical Analysis  Python Programming  Regression  Statistical Programming
Generative AI with Vertex AI: Build a customer chatbot, Coursera Project Network, Python Programming
Building Web Applications in Django, University of Michigan, Other Web Frameworks  Web Development  Computer Programming  Django (Web Framework)  Python Programming
MLOps Platforms: Amazon SageMaker and Azure ML, Duke University, Machine Learning  Microsoft Azure  Python Programming
AI Workflow: AI in Production, IBM, Data Analysis  Exploratory Data Analysis  Machine Learning  Data Science  Docker (Software)  Python Programming
SQL for Data Science Capstone Project, University of California  Davis, Data Analysis  Data Model  Exploratory Data Analysis  Python Programming  SQL
Introduction to Machine Learning: Supervised Learning, University of Colorado Boulder, Machine Learning  Statistical Machine Learning  Machine Learning Algorithms  Python Programming  Probability & Statistics  Statistical Programming  Regression  Data Analysis  Applied Machine Learning  Statistical Analysis
Text Marketing Analytics, University of Colorado Boulder, Machine Learning  Network Analysis  Python Programming
GenAI For Business Analysis: Fine-Tuning LLMs, Coursera Project Network, Machine Learning  Python Programming
Combinatorics and Probability, University of California San Diego, Mathematics  Probability & Statistics  Combinatorics  General Statistics  Problem Solving  Probability Distribution  Critical Thinking  Mathematical Theory & Analysis  Computational Thinking  Python Programming  Computer Programming
Perform data science with Azure Databricks, Microsoft, Microsoft Azure  Big Data  Cloud Computing  Machine Learning  Applied Machine Learning  Cloud Applications  Data Management  Extract  Transform  Load  Python Programming  Cloud-Based Integration
Machine Learning: Classification, University of Washington, Machine Learning  Machine Learning Algorithms  Algorithms  Human Learning  Applied Machine Learning  Probability & Statistics  Statistical Machine Learning  Decision Making  Python Programming  Probability Distribution
Diabetic Retinopathy Detection with Artificial Intelligence, Coursera Project Network, Artificial Neural Networks  Deep Learning  Machine Learning  Computer Vision  Python Programming
AI Workflow: Feature Engineering and Bias Detection, IBM, Algorithms  Dimensionality Reduction  Feature Engineering  Machine Learning  Data Science  Python Programming
Getting started with TensorFlow 2, Imperial College London, Applied Machine Learning  Artificial Neural Networks  Deep Learning  Machine Learning  Python Programming  Tensorflow
JSON and Natural Language Processing in PostgreSQL, University of Michigan, Databases  PostgreSQL  Python Programming  SQL  Natural Language Processing
Dynamic Programming  Greedy Algorithms, University of Colorado Boulder, Algorithms  Computer Programming  Problem Solving  Theoretical Computer Science  Computational Logic  Computational Thinking  Mathematical Theory & Analysis  Mathematics  Applied Mathematics  Data Structures  Python Programming
Prepare for DP-100: Data Science on Microsoft Azure Exam, Microsoft, Machine Learning  Microsoft Azure  Machine Learning Algorithms  Algorithms  Applied Machine Learning  Data Analysis  Human Learning  Machine Learning Software  Python Programming
Data Science in Stratified Healthcare and Precision Medicine, The University of Edinburgh, Computer Programming  Data Analysis  Python Programming  Applied Machine Learning  Clinical Data Management  Machine Learning  Data Analysis Software  Data Visualization  Human Learning  Probability & Statistics  Natural Language Processing
Prompt Engineering with GPT: Programming for Custom Content, Coursera Project Network, Application Development  Machine Learning  Python Programming  Software Engineering
Deep Learning for Real Estate Price Prediction, Coursera Project Network, Deep Learning  Machine Learning  Python Programming
Breast Cancer Prediction Using Machine Learning, Coursera Project Network, Machine Learning  Regression  Data Mining  Python Programming
Machine Learning: Clustering & Retrieval, University of Washington, Algorithms  Human Learning  Machine Learning  Machine Learning Algorithms  Applied Machine Learning  Python Programming  Probability & Statistics  Data Analysis  Machine Learning Software  Statistical Machine Learning
Statistical Analysis Fundamentals using Excel, IBM, Basic Descriptive Statistics  Data Analysis  Data Visualization  General Statistics  Probability & Statistics  Python Programming  Statistical Analysis  Statistical Tests  Plot (Graphics)  Statistical Visualization  Forecasting  Microsoft Excel
Trees and Graphs: Basics, University of Colorado Boulder, Data Structures  Algorithms  Graph Theory  Theoretical Computer Science  Python Programming
Basic Robotic Behaviors and Odometry, University of Colorado Boulder, Algorithms  Linear Algebra  Python Programming
CUDA at Scale for the Enterprise, Johns Hopkins University, Machine Learning  Python Programming  Algorithms
AI Workflow: Business Priorities and Data Ingestion, IBM, Business Process Management  Data Management  Data Structures  Statistical Programming  Strategy and Operations  Python Programming  Data Science  Machine Learning
